,year,month,temp
232,1973,1月,3.2
233,1974,1月,4.0
234,1975,1月,3.7
235,1976,1月,2.5
236,1977,1月,4.7
237,1978,1月,5.7
238,1979,1月,4.2
239,1980,1月,2.4
240,1981,1月,3.8
241,1982,1月,4.8
242,1983,1月,2.2
243,1984,1月,3.1
244,1985,1月,2.8
245,1986,1月,4.8
246,1987,1月,5.9
247,1988,1月,6.8
248,1989,1月,4.4
249,1990,1月,5.1
250,1991,1月,6.1
251,1992,1月,5.8
252,1993,1月,4.8
253,1994,1月,4.6
254,1995,1月,4.7
255,1996,1月,4.6
256,1997,1月,4.9
257,1998,1月,5.1
258,1999,1月,6.0
259,2000,1月,3.9
260,2001,1月,5.7
261,2002,1月,3.9
262,2003,1月,4.3
263,2004,1月,4.5
264,2005,1月,4.0
265,2006,1月,5.8
266,2007,1月,4.6
267,2008,1月,5.2
268,2009,1月,4.7
269,2010,1月,2.8
270,2011,1月,4.1
271,2012,1月,3.9
272,2013,1月,4.4
273,2014,1月,4.9
274,2015,1月,5.7
275,2016,1月,4.8
276,2017,1月,3.9
277,2018,1月,5.1
278,1880,2月,2.5
279,1881,2月,4.4
280,1882,2月,3.1
281,1883,2月,1.6
282,1884,2月,1.2
283,1885,2月,1.0
284,1886,2月,2.9
285,1887,2月,1.7
286,1888,2月,2.6
287,1889,2月,6.6
288,1890,2月,3.8
289,1891,2月,2.8
290,1892,2月,0.8
291,1893,2月,2.5
292,1894,2月,2.3
293,1895,2月,2.9
294,1896,2月,2.9
295,1897,2月,3.9
296,1898,2月,4.0
297,1899,2月,2.6
298,1900,2月,1.6
299,1901,2月,2.4
300,1902,2月,3.5
301,1903,2月,4.0
302,1904,2月,2.3
303,1905,2月,3.3
304,1906,2月,1.2
305,1907,2月,2.4
306,1908,2月,2.0
307,1909,2月,2.0
308,1910,2月,3.6
309,1911,2月,5.9
310,1912,2月,3.3
311,1913,2月,4.1
312,1914,2月,4.2
313,1915,2月,4.5
314,1916,2月,2.7
315,1917,2月,3.1
316,1918,2月,4.0
317,1919,2月,3.1
318,1920,2月,3.2
319,1921,2月,6.5
320,1922,2月,3.7
321,1923,2月,3.7
322,1924,2月,2.2
323,1925,2月,3.8
324,1926,2月,2.0
325,1927,2月,2.9
326,1928,2月,2.2
327,1929,2月,4.8
328,1930,2月,3.4
329,1931,2月,3.0
330,1932,2月,2.7
331,1933,2月,2.5
332,1934,2月,4.4
333,1935,2月,1.4
334,1936,2月,6.1
335,1937,2月,2.4
336,1938,2月,3.4
337,1939,2月,2.6
338,1940,2月,4.1
339,1941,2月,3.1
340,1942,2月,2.7
341,1943,2月,2.5
342,1944,2月,1.2
343,1945,2月,3.4
344,1946,2月,1.4
345,1947,2月,4.1
346,1948,2月,5.8
347,1949,2月,4.4
